Event,Platform,White,Black,Result,WhiteElo,BlackElo,UTCDate,UTCTime,ECO,TimeControl,Termination,Link,Moves
Rated bullet game,Lichess.org,dhawalplayse4,corengeo,1-0,1974,1915,2020.11.26,18:34:57,C01,60+0,Time forfeit,https://lichess.org/7L1DhYVb,e4 e6 d4 d5 exd5 exd5 Nc3 Nf6 Nf3 h6 Bd3 Be7 Bf4 O-O Nb5 Na6 Nc3 Nb8 Nb5 Na6 Nc3 Nb8 Qe2 a6 Be5 Re8 h4 Nc6 O-O-O Bg4 Qd2 Bd6 Bxf6 Qxf6 Nxd5 Qd8 Ne3 Bxf3 gxf3 Qf6 Qe2 Nxd4 Qd2 Nxf3 Qe2 Be5 Nc4 Bxb2+ Nxb2 Rxe2 Bxe2 Nd4 Bd3 c5 Rhe1 Rd8 c3 Nc6 Kc2 Na5 Nc4 Nxc4 Bxc4 Rxd1 Rxd1 Qxf2+ Rd2 Qf6 Kb3 Qxh4 Bd3 Qf6 Be4 Qb6+ Kc2 c4 Kc1 g6 a3
Rated bullet game,Lichess.org,dhawalplayse4,Legion14,1-0,1970,1900,2020.11.26,18:32:42,B13,60+0,Time forfeit,https://lichess.org/N2qr3FDv,e4 c6 d4 d5 exd5 cxd5 Nc3 Nc6 Nf3 Nf6 Bd3 Bg4 Be3 e6 h3 Bxf3 Qxf3 Bb4 a3 Ba5 Rb1 O-O g4 Rc8 g5 Nd7 Qh5 g6 Qh6 Bb6 Ne2 e5 dxe5 Bxe3 fxe3 Ndxe5 Rf1 d4 exd4 Nxd4 Nxd4 Qxd4 Rd1 Rfe8 Kd2 Nc4+ Kc1 Qe3+ Kb1 Nd2+ Ka2 Nxf1 Rxf1 Qe6+ b3 Rc5 Qh4 Rec8 Qf2 Rxg5 Re1 Qxh3 Qe2 Rgc5 b4 Rc3 Kb2 Qe6 Kc1 Qxe2 Rxe2 Rxa3 Kd2 Ra1 Ke3 Rd8 Kf3
Rated bullet game,Lichess.org,sidhu1997,dhawalplayse4,0-1,1993,1963,2020.11.26,18:30:23,B01,60+0,Normal,https://lichess.org/lkIlxwqA,e4 d5 Nc3 d4 Nce2 e5 Ng3 Nf6 d3 Nc6 f4 exf4 Bxf4 Bd6 Nf3 Bxf4 Be2 Bxg3+ hxg3 Ng4 O-O Ne3 Qe1 Nxf1 Qxf1 Bg4 Qf2 Bxf3 Bxf3 Qf6 Rf1 Ne5 Qe2 Nxf3+ Rxf3 Qe6 Rf5 g6 Rd5 c6 Rxd4 Qe5 Rb4 Qxg3 Rxb7 O-O e5 Rfb8 Rc7 Re8 d4 f6 Rxc6 fxe5 Qc4+ Kg7 Rc7+ Kh6 Qf7 Qe1+ Kh2 Qh4+ Kg1 Kg5 Qf3 exd4 Rc5+ Kh6 Rc7 Re1+ Qf1 Rxf1+ Kxf1 Qf4+ Kg1 Qxc7 g3 Qxc2 Kh1 Qxb2 Kg1 Qxa2 Kf1 Rb8 Ke1 Rb1#
Rated bullet game,Lichess.org,dalarm,dhawalplayse4,0-1,1915,1958,2020.11.26,18:28:06,B01,60+0,Time forfeit,https://lichess.org/3qnIzvDb,e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Nc6 c4 Nf6 d5 Nb8 a3 c6 Be2 cxd5 cxd5 Nxd5 Qb3 Nc6 O-O Be6 Rd1 Rb8 Bb5 Qc7 Nc3 Ne3 Qa4 Nxd1 Bxc6+ Qxc6 Qxd1 Rd8 Qe1 Bg4 Ne5 Qe6 Bf4 f6 Qe4 fxe5 Bxe5 Bf5 Qxb7 Qxe5 h3 Be6 Nb5 Bd5 Nc7+ Kf7 Nxd5 Rxd5 Qxa7 Kg6 Qb6+ e6 Qb3 Bc5 Rf1 Rc8 Qf3 Qf5 Qg3+ Qg5 Qf3 Rf5 Qd3 Rf8 Qd7 R5f7 Qxe6+ Rf6 Qe4+ Qf5 Qg4+ Qxg4 hxg4 Bxf2+ Kh2 Be3
Rated bullet game,Lichess.org,dhawalplayse4,argonautow,0-1,1964,1955,2020.11.26,18:25:41,B02,60+0,Time forfeit,https://lichess.org/wtk3GTCt,e4 Nf6 d3 d5 e5 Nfd7 d4 c5 dxc5 g6 Qd4 Bg7 Nf3 O-O Bf4 Nc6 Qd2 Nxc5 Bh6 Ne4 Qe3 Nxe5 Nxe5 Bxe5 f3 Qa5+ c3 Nf6 Qxe5 Be6 g4 Rfd8 g5 Qb6 gxf6 Qd6 Qxd6 Rxd6 fxe7 Re8 Nd2 Rxe7 c4 Bh3+ Kf2 Bf5 Bf4 Rde6 Bd3 f6 cxd5 Rd6 Bxf5 Red7 Bxd6 Rxd6 Bxg6 Rxd5 Be4 Rxd2+ Ke3 Rxb2 Rhg1+ Kf7 Rad1 Ke6 Rd5 Rxa2 Rd4 Ra3+ Kf4 f5 Bd5+ Kd6 Rd2 Kc5 Rg6 Ra4+ Kg3 b5 Re6 b4 Re7 b3 Rc7+ Kb4 Rd1 Ka3 Rb1 b2 Bc6 Ka2 Bxa4 Kxb1 Bb3 a5 Rxh7 a4 h3 a3 Ba2+ Kxa2 h4 Ka1 h5 b1=Q h6 Qf1 Rf7 Qg1+ Kf4 Qd4+
Rated bullet game,Lichess.org,giuliob86,dhawalplayse4,0-1,1957,1959,2020.11.26,18:24:54,A01,60+0,Normal,https://lichess.org/QAT0Ywoc,b3 d5 Bb2 e6 Nf3 Nf6 e3 Nc6 Bd3 Be7 c4 dxc4 Bxc4 Na5 Be2 Nc6 O-O Bd7 Nc3 O-O a3 Bd6 b4 a6 d4 b6 e4 e5 d5 Ne7 Nd2 c6 f3 cxd5 Nxd5 Nexd5 exd5 Bc7 Bc4 Qe7 Ne4 Nxe4 Bb3 Nd6 Qd2 f6 Qe2 Bb5 Rfd1 Bxe2
Rated bullet game,Lichess.org,dhawalplayse4,kaspa100,1-0,1952,1995,2020.11.26,18:23:42,B21,60+0,Normal,https://lichess.org/IZZ4izSA,e4 c5 d4 d6 dxc5 Qa5+ Nc3 Qxc5 Bd2 Nf6 Nf3 Be6 Be3 Qc7 Nb5 Qa5+ Nc3 a6 Bd2 Nbd7 Nd5 Bxd5 Bxa5 Bxe4 Bd3 Bxf3 Qxf3 Rc8 Qxb7 Rb8 Qc7 Nd5 Qc4 N7b6 Bxb6 Nxb6 Qc7
Rated bullet game,Lichess.org,dhawalplayse4,louisrobert,1-0,1947,1926,2020.11.26,18:22:11,B21,60+0,Normal,https://lichess.org/qkFj3ouA,e4 c5 d4 d6 dxc5 Qa5+ Bd2 Qxc5 Nc3 e6 Nf3 a6 a3 Qc7 Na4 Nf6 Nc3 Nbd7 Bd3 Be7 Ne2 O-O Nc3 b5 O-O Bb7 Qe2 Nc5 e5 dxe5 Nxe5 Nxd3 Nxd3 Qc6 f3 Rfe8 Ne5 Qc7 Bf4 Qc8 Nd3 Nd5 Bg3 Nxc3 bxc3 Qxc3 Rae1 Bf6 Nf4 Qd4+ Kh1 Qc3 Bf2 Rad8 Nd3 Qc7 g3 Bd4 Bxd4 Rxd4 Kg1 Rdd8 Qf2 Qb6 Qxb6
Rated bullet game,Lichess.org,SandiSladoledar,dhawalplayse4,0-1,1986,1940,2020.11.26,18:19:54,A06,60+0,Time forfeit,https://lichess.org/kxYvoZ9z,e4 d5 Nf3 dxe4 Ng5 e5 d3 Nc6 Nxe4 Nf6 Nbc3 Nxe4 Nxe4 f5 Ng3 f4 Ne4 Bf5 f3 Bxe4 fxe4 Be7 Qe2 O-O Bd2 Bh4+ Kd1 Nd4 Qg4 Bf6 c3 Nc6 Kc2 Qd6 Be2 a6 g3 h6 gxf4 exf4 Rhg1 g5 h4 Kh7 hxg5 Bxg5 Bf1 Ne5 Qe2 Rfd8 Rd1 b5 Bc1 b4 Bh3 b3+ axb3 Rab8 Bf5+ Kg7 Qh5 Qb6 Bxf4 Qxb3+ Kd2 Qxb2+ Ke1 Qxc3+ Kf1 Rb2 Bxg5 Qxd3+ Ke1 Qxd1+
Rated bullet game,Lichess.org,blackpopa,dhawalplayse4,1-0,2042,1944,2020.11.26,15:28:34,B01,60+0,Normal,https://lichess.org/wpsHw1pj,e4 d5 exd5 Nf6 Nc3 Nxd5 Bc4 Nxc3 bxc3 Nc6 Ba3 Bf5 d3 e6 Bxf8 Rxf8 Nf3 Qe7 O-O O-O-O a4 a6 Rb1 f6 Nd4 Nxd4 cxd4 Rxd4 Qf3 c6 Bxa6 bxa6 Qxc6+ Qc7 Qxa6+ Kd8 Rb7 Qd6 Qa8+ Qb8 Qxb8#
